Login,Name,Password,Mathematics Ability
S5A01@schoolA.com,S5A01,547351,
S5A02@schoolA.com,S5A02,641184,
S5A03@schoolA.com,S5A03,244865,
S5A04@schoolA.com,S5A04,352547,
S5A05@schoolA.com,S5A05,956636,
S5A06@schoolA.com,S5A06,302564,
S5A07@schoolA.com,S5A07,367588,
S5A08@schoolA.com,S5A08,94075,
S5A09@schoolA.com,S5A09,376902,
S5A10@schoolA.com,S5A10,63298,
S5A11@schoolA.com,S5A11,352982,
S5A12@schoolA.com,S5A12,83258,
S5A13@schoolA.com,S5A13,867431,
S5A14@schoolA.com,S5A14,243801,
S5A15@schoolA.com,S5A15,847377,
S5A16@schoolA.com,S5A16,920648,
S5A17@schoolA.com,S5A17,269579,
S5A18@schoolA.com,S5A18,512743,
S5A19@schoolA.com,S5A19,460762,
S5A20@schoolA.com,S5A20,632795,
S5A21@schoolA.com,S5A21,999502,
S5A22@schoolA.com,S5A22,236641,
S5A23@schoolA.com,S5A23,736034,
S5A24@schoolA.com,S5A24,55575,
S5A25@schoolA.com,S5A25,138044,
S5A26@schoolA.com,S5A26,670531,
S5A27@schoolA.com,S5A27,731416,
S5A28@schoolA.com,S5A28,94824,
S5A29@schoolA.com,S5A29,611795,
S5A30@schoolA.com,S5A30,10786,
S5A31@schoolA.com,S5A31,760953,
S5A32@schoolA.com,S5A32,107195,
S5A33@schoolA.com,S5A33,340634,
S5A34@schoolA.com,S5A34,405028,
S5A35@schoolA.com,S5A35,427211,
S5A36@schoolA.com,S5A36,768033,
S5A37@schoolA.com,S5A37,830316,
S5A38@schoolA.com,S5A38,329789,
S5A39@schoolA.com,S5A39,563064,
S5A40@schoolA.com,S5A40,885211,
S6A01@schoolA.com,S6A01,961822,
S6A02@schoolA.com,S6A02,146233,
S6A03@schoolA.com,S6A03,742569,
S6A04@schoolA.com,S6A04,414613,
S6A05@schoolA.com,S6A05,384688,
S6A06@schoolA.com,S6A06,474805,
S6A07@schoolA.com,S6A07,871062,
S6A08@schoolA.com,S6A08,563124,
S6A09@schoolA.com,S6A09,704358,
S6A10@schoolA.com,S6A10,703932,
S6A11@schoolA.com,S6A11,590507,
S6A12@schoolA.com,S6A12,143119,
S6A13@schoolA.com,S6A13,849791,
S6A14@schoolA.com,S6A14,653617,
S6A15@schoolA.com,S6A15,373639,
S6A16@schoolA.com,S6A16,632318,
S6A17@schoolA.com,S6A17,681682,
S6A18@schoolA.com,S6A18,43017,
S6A19@schoolA.com,S6A19,221164,
S6A20@schoolA.com,S6A20,505636,
S6A21@schoolA.com,S6A21,469119,
S6A22@schoolA.com,S6A22,811949,
S6A23@schoolA.com,S6A23,75523,
S6A24@schoolA.com,S6A24,146306,
S6A25@schoolA.com,S6A25,208741,
S6A26@schoolA.com,S6A26,105317,
S6A27@schoolA.com,S6A27,693418,
S6A28@schoolA.com,S6A28,518524,
S6A29@schoolA.com,S6A29,777016,
S6A30@schoolA.com,S6A30,253946,
S6A31@schoolA.com,S6A31,157694,
S6A32@schoolA.com,S6A32,594952,
S6A33@schoolA.com,S6A33,718435,
S6A34@schoolA.com,S6A34,200915,
S6A35@schoolA.com,S6A35,282242,
S6A36@schoolA.com,S6A36,935424,
S6A37@schoolA.com,S6A37,137395,
S6A38@schoolA.com,S6A38,59122,
S6A39@schoolA.com,S6A39,734258,
S6A40@schoolA.com,S6A40,72464,
S4A01@schoolA.com,S4A01,830819,
S4A02@schoolA.com,S4A02,442819,
S4A03@schoolA.com,S4A03,500407,
S4A04@schoolA.com,S4A04,194369,
S4A05@schoolA.com,S4A05,240778,
S4A06@schoolA.com,S4A06,235929,
S4A07@schoolA.com,S4A07,807101,
S4A08@schoolA.com,S4A08,285737,
S4A09@schoolA.com,S4A09,793846,
S4A10@schoolA.com,S4A10,594108,
S4A11@schoolA.com,S4A11,300929,
S4A12@schoolA.com,S4A12,567748,
S4A13@schoolA.com,S4A13,968239,
S4A14@schoolA.com,S4A14,165478,
S4A15@schoolA.com,S4A15,112938,
S4A16@schoolA.com,S4A16,332808,
S4A17@schoolA.com,S4A17,382141,
S4A18@schoolA.com,S4A18,854595,
S4A19@schoolA.com,S4A19,547069,
S4A20@schoolA.com,S4A20,639923,
S4A21@schoolA.com,S4A21,905458,
S4A22@schoolA.com,S4A22,954706,
S4A23@schoolA.com,S4A23,237374,
S4A24@schoolA.com,S4A24,360012,
S4A25@schoolA.com,S4A25,995236,
S4A26@schoolA.com,S4A26,749607,
S4A27@schoolA.com,S4A27,708409,
S4A28@schoolA.com,S4A28,809654,
S4A29@schoolA.com,S4A29,277426,
S4A30@schoolA.com,S4A30,410981,
S4A31@schoolA.com,S4A31,275985,
S4A32@schoolA.com,S4A32,701625,
S4A33@schoolA.com,S4A33,914641,
S4A34@schoolA.com,S4A34,780711,
S4A35@schoolA.com,S4A35,969638,
S4A36@schoolA.com,S4A36,975938,
S4A37@schoolA.com,S4A37,785354,
S4A38@schoolA.com,S4A38,963696,
S4A39@schoolA.com,S4A39,717758,
S4A40@schoolA.com,S4A40,286265,
