Login,Name,Password,Mathematics Ability
S5A01@schoolD.com,S5A01,629954,
S5A02@schoolD.com,S5A02,765451,
S5A03@schoolD.com,S5A03,422577,
S5A04@schoolD.com,S5A04,432882,
S5A05@schoolD.com,S5A05,502324,
S5A06@schoolD.com,S5A06,140102,
S5A07@schoolD.com,S5A07,535992,
S5A08@schoolD.com,S5A08,632695,
S5A09@schoolD.com,S5A09,599557,
S5A10@schoolD.com,S5A10,211647,
S5A11@schoolD.com,S5A11,660367,
S5A12@schoolD.com,S5A12,13772,
S5A13@schoolD.com,S5A13,392517,
S5A14@schoolD.com,S5A14,467656,
S5A15@schoolD.com,S5A15,144798,
S5A16@schoolD.com,S5A16,780707,
S5A17@schoolD.com,S5A17,220952,
S5A18@schoolD.com,S5A18,6.0556,
S5A19@schoolD.com,S5A19,650493,
S5A20@schoolD.com,S5A20,686604,
S5A21@schoolD.com,S5A21,524147,
S5A22@schoolD.com,S5A22,926072,
S5A23@schoolD.com,S5A23,995611,
S5A24@schoolD.com,S5A24,503128,
S5A25@schoolD.com,S5A25,391296,
S5A26@schoolD.com,S5A26,193632,
S5A27@schoolD.com,S5A27,475622,
S5A28@schoolD.com,S5A28,325651,
S5A29@schoolD.com,S5A29,336446,
S5A30@schoolD.com,S5A30,195233,
S5A31@schoolD.com,S5A31,234362,
S5A32@schoolD.com,S5A32,495379,
S5A33@schoolD.com,S5A33,882548,
S5A34@schoolD.com,S5A34,518059,
S5A35@schoolD.com,S5A35,603176,
S5A36@schoolD.com,S5A36,892586,
S5A37@schoolD.com,S5A37,243268,
S5A38@schoolD.com,S5A38,405115,
S5A39@schoolD.com,S5A39,339084,
S5A40@schoolD.com,S5A40,631501,
S6A01@schoolD.com,S6A01,134733,
S6A02@schoolD.com,S6A02,949304,
S6A03@schoolD.com,S6A03,121323,
S6A04@schoolD.com,S6A04,111846,
S6A05@schoolD.com,S6A05,116683,
S6A06@schoolD.com,S6A06,596721,
S6A07@schoolD.com,S6A07,697127,
S6A08@schoolD.com,S6A08,788558,
S6A09@schoolD.com,S6A09,300173,
S6A10@schoolD.com,S6A10,350074,
S6A11@schoolD.com,S6A11,728371,
S6A12@schoolD.com,S6A12,279733,
S6A13@schoolD.com,S6A13,567414,
S6A14@schoolD.com,S6A14,139646,
S6A15@schoolD.com,S6A15,441451,
S6A16@schoolD.com,S6A16,932731,
S6A17@schoolD.com,S6A17,400828,
S6A18@schoolD.com,S6A18,888313,
S6A19@schoolD.com,S6A19,693184,
S6A20@schoolD.com,S6A20,616234,
S6A21@schoolD.com,S6A21,826579,
S6A22@schoolD.com,S6A22,584567,
S6A23@schoolD.com,S6A23,272441,
S6A24@schoolD.com,S6A24,752986,
S6A25@schoolD.com,S6A25,55222,
S6A26@schoolD.com,S6A26,899305,
S6A27@schoolD.com,S6A27,334296,
S6A28@schoolD.com,S6A28,738154,
S6A29@schoolD.com,S6A29,701846,
S6A30@schoolD.com,S6A30,968394,
S6A31@schoolD.com,S6A31,446744,
S6A32@schoolD.com,S6A32,754669,
S6A33@schoolD.com,S6A33,760265,
S6A34@schoolD.com,S6A34,461069,
S6A35@schoolD.com,S6A35,833775,
S6A36@schoolD.com,S6A36,390247,
S6A37@schoolD.com,S6A37,331162,
S6A38@schoolD.com,S6A38,13093,
S6A39@schoolD.com,S6A39,915679,
S6A40@schoolD.com,S6A40,562686,
S4A01@schoolD.com,S4A01,858965,
S4A02@schoolD.com,S4A02,89335,
S4A03@schoolD.com,S4A03,388069,
S4A04@schoolD.com,S4A04,593929,
S4A05@schoolD.com,S4A05,955314,
S4A06@schoolD.com,S4A06,73573,
S4A07@schoolD.com,S4A07,832826,
S4A08@schoolD.com,S4A08,183246,
S4A09@schoolD.com,S4A09,998605,
S4A10@schoolD.com,S4A10,762225,
S4A11@schoolD.com,S4A11,66562,
S4A12@schoolD.com,S4A12,690942,
S4A13@schoolD.com,S4A13,590617,
S4A14@schoolD.com,S4A14,498773,
S4A15@schoolD.com,S4A15,105049,
S4A16@schoolD.com,S4A16,425918,
S4A17@schoolD.com,S4A17,740733,
S4A18@schoolD.com,S4A18,542262,
S4A19@schoolD.com,S4A19,828236,
S4A20@schoolD.com,S4A20,966105,
S4A21@schoolD.com,S4A21,326173,
S4A22@schoolD.com,S4A22,551528,
S4A23@schoolD.com,S4A23,105484,
S4A24@schoolD.com,S4A24,340246,
S4A25@schoolD.com,S4A25,111081,
S4A26@schoolD.com,S4A26,199339,
S4A27@schoolD.com,S4A27,313636,
S4A28@schoolD.com,S4A28,954081,
S4A29@schoolD.com,S4A29,292133,
S4A30@schoolD.com,S4A30,270881,
S4A31@schoolD.com,S4A31,719624,
S4A32@schoolD.com,S4A32,261952,
