Login,Name,Password,Mathematics Ability,School Name
S5A01@schoolD.com,S5A01,629954,,SchoolD
S5A02@schoolD.com,S5A02,765451,,SchoolD
S5A03@schoolD.com,S5A03,422577,,SchoolD
S5A04@schoolD.com,S5A04,432882,,SchoolD
S5A05@schoolD.com,S5A05,502324,,SchoolD
S5A06@schoolD.com,S5A06,140102,,SchoolD
S5A07@schoolD.com,S5A07,535992,,SchoolD
S5A08@schoolD.com,S5A08,632695,,SchoolD
S5A09@schoolD.com,S5A09,599557,,SchoolD
S5A10@schoolD.com,S5A10,211647,,SchoolD
S5A11@schoolD.com,S5A11,660367,,SchoolD
S5A12@schoolD.com,S5A12,13772,,SchoolD
S5A13@schoolD.com,S5A13,392517,,SchoolD
S5A14@schoolD.com,S5A14,467656,,SchoolD
S5A15@schoolD.com,S5A15,144798,,SchoolD
S5A16@schoolD.com,S5A16,780707,,SchoolD
S5A17@schoolD.com,S5A17,220952,,SchoolD
S5A18@schoolD.com,S5A18,6.0556,,SchoolD
S5A19@schoolD.com,S5A19,650493,,SchoolD
S5A20@schoolD.com,S5A20,686604,,SchoolD
S5A21@schoolD.com,S5A21,524147,,SchoolD
S5A22@schoolD.com,S5A22,926072,,SchoolD
S5A23@schoolD.com,S5A23,995611,,SchoolD
S5A24@schoolD.com,S5A24,503128,,SchoolD
S5A25@schoolD.com,S5A25,391296,,SchoolD
S5A26@schoolD.com,S5A26,193632,,SchoolD
S5A27@schoolD.com,S5A27,475622,,SchoolD
S5A28@schoolD.com,S5A28,325651,,SchoolD
S5A29@schoolD.com,S5A29,336446,,SchoolD
S5A30@schoolD.com,S5A30,195233,,SchoolD
S5A31@schoolD.com,S5A31,234362,,SchoolD
S5A32@schoolD.com,S5A32,495379,,SchoolD
S5A33@schoolD.com,S5A33,882548,,SchoolD
S5A34@schoolD.com,S5A34,518059,,SchoolD
S5A35@schoolD.com,S5A35,603176,,SchoolD
S5A36@schoolD.com,S5A36,892586,,SchoolD
S5A37@schoolD.com,S5A37,243268,,SchoolD
S5A38@schoolD.com,S5A38,405115,,SchoolD
S5A39@schoolD.com,S5A39,339084,,SchoolD
S5A40@schoolD.com,S5A40,631501,,SchoolD
S6A01@schoolD.com,S6A01,134733,,SchoolD
S6A02@schoolD.com,S6A02,949304,,SchoolD
S6A03@schoolD.com,S6A03,121323,,SchoolD
S6A04@schoolD.com,S6A04,111846,,SchoolD
S6A05@schoolD.com,S6A05,116683,,SchoolD
S6A06@schoolD.com,S6A06,596721,,SchoolD
S6A07@schoolD.com,S6A07,697127,,SchoolD
S6A08@schoolD.com,S6A08,788558,,SchoolD
S6A09@schoolD.com,S6A09,300173,,SchoolD
S6A10@schoolD.com,S6A10,350074,,SchoolD
S6A11@schoolD.com,S6A11,728371,,SchoolD
S6A12@schoolD.com,S6A12,279733,,SchoolD
S6A13@schoolD.com,S6A13,567414,,SchoolD
S6A14@schoolD.com,S6A14,139646,,SchoolD
S6A15@schoolD.com,S6A15,441451,,SchoolD
S6A16@schoolD.com,S6A16,932731,,SchoolD
S6A17@schoolD.com,S6A17,400828,,SchoolD
S6A18@schoolD.com,S6A18,888313,,SchoolD
S6A19@schoolD.com,S6A19,693184,,SchoolD
S6A20@schoolD.com,S6A20,616234,,SchoolD
S6A21@schoolD.com,S6A21,826579,,SchoolD
S6A22@schoolD.com,S6A22,584567,,SchoolD
S6A23@schoolD.com,S6A23,272441,,SchoolD
S6A24@schoolD.com,S6A24,752986,,SchoolD
S6A25@schoolD.com,S6A25,55222,,SchoolD
S6A26@schoolD.com,S6A26,899305,,SchoolD
S6A27@schoolD.com,S6A27,334296,,SchoolD
S6A28@schoolD.com,S6A28,738154,,SchoolD
S6A29@schoolD.com,S6A29,701846,,SchoolD
S6A30@schoolD.com,S6A30,968394,,SchoolD
S6A31@schoolD.com,S6A31,446744,,SchoolD
S6A32@schoolD.com,S6A32,754669,,SchoolD
S6A33@schoolD.com,S6A33,760265,,SchoolD
S6A34@schoolD.com,S6A34,461069,,SchoolD
S6A35@schoolD.com,S6A35,833775,,SchoolD
S6A36@schoolD.com,S6A36,390247,,SchoolD
S6A37@schoolD.com,S6A37,331162,,SchoolD
S6A38@schoolD.com,S6A38,13093,,SchoolD
S6A39@schoolD.com,S6A39,915679,,SchoolD
S6A40@schoolD.com,S6A40,562686,,SchoolD
S4A01@schoolD.com,S4A01,858965,,SchoolD
S4A02@schoolD.com,S4A02,89335,,SchoolD
S4A03@schoolD.com,S4A03,388069,,SchoolD
S4A04@schoolD.com,S4A04,593929,,SchoolD
S4A05@schoolD.com,S4A05,955314,,SchoolD
S4A06@schoolD.com,S4A06,73573,,SchoolD
S4A07@schoolD.com,S4A07,832826,,SchoolD
S4A08@schoolD.com,S4A08,183246,,SchoolD
S4A09@schoolD.com,S4A09,998605,,SchoolD
S4A10@schoolD.com,S4A10,762225,,SchoolD
S4A11@schoolD.com,S4A11,66562,,SchoolD
S4A12@schoolD.com,S4A12,690942,,SchoolD
S4A13@schoolD.com,S4A13,590617,,SchoolD
S4A14@schoolD.com,S4A14,498773,,SchoolD
S4A15@schoolD.com,S4A15,105049,,SchoolD
S4A16@schoolD.com,S4A16,425918,,SchoolD
S4A17@schoolD.com,S4A17,740733,,SchoolD
S4A18@schoolD.com,S4A18,542262,,SchoolD
S4A19@schoolD.com,S4A19,828236,,SchoolD
S4A20@schoolD.com,S4A20,966105,,SchoolD
S4A21@schoolD.com,S4A21,326173,,SchoolD
S4A22@schoolD.com,S4A22,551528,,SchoolD
S4A23@schoolD.com,S4A23,105484,,SchoolD
S4A24@schoolD.com,S4A24,340246,,SchoolD
S4A25@schoolD.com,S4A25,111081,,SchoolD
S4A26@schoolD.com,S4A26,199339,,SchoolD
S4A27@schoolD.com,S4A27,313636,,SchoolD
S4A28@schoolD.com,S4A28,954081,,SchoolD
S4A29@schoolD.com,S4A29,292133,,SchoolD
S4A30@schoolD.com,S4A30,270881,,SchoolD
S4A31@schoolD.com,S4A31,719624,,SchoolD
S4A32@schoolD.com,S4A32,261952,,SchoolD
S4A33@schoolD.com,S4A33,256894,,SchoolD
S4A34@schoolD.com,S4A34,966906,,SchoolD
S4A35@schoolD.com,S4A35,392229,,SchoolD
S4A36@schoolD.com,S4A36,254196,,SchoolD
S4A37@schoolD.com,S4A37,514999,,SchoolD
S4A38@schoolD.com,S4A38,735055,,SchoolD
S4A39@schoolD.com,S4A39,61996,,SchoolD
S4A40@schoolD.com,S4A40,520821,,SchoolD
S5B01@schoolD.com,S5B01,726465,,SchoolD
S5B02@schoolD.com,S5B02,450964,,SchoolD
S5B03@schoolD.com,S5B03,887194,,SchoolD
S5B04@schoolD.com,S5B04,404511,,SchoolD
S5B05@schoolD.com,S5B05,16511,,SchoolD
S5B06@schoolD.com,S5B06,76674,,SchoolD
S5B07@schoolD.com,S5B07,552141,,SchoolD
S5B08@schoolD.com,S5B08,411656,,SchoolD
S5B09@schoolD.com,S5B09,83827,,SchoolD
