Login,Name,Password,Mathematics Ability,School Name
S5A01@schoolF.com,S5A01,574016,,SchoolF
S5A02@schoolF.com,S5A02,400372,,SchoolF
S5A03@schoolF.com,S5A03,28072,,SchoolF
S5A04@schoolF.com,S5A04,400536,,SchoolF
S5A05@schoolF.com,S5A05,399681,,SchoolF
S5A06@schoolF.com,S5A06,859285,,SchoolF
S5A07@schoolF.com,S5A07,985955,,SchoolF
S5A08@schoolF.com,S5A08,225778,,SchoolF
S5A09@schoolF.com,S5A09,779811,,SchoolF
S5A10@schoolF.com,S5A10,478353,,SchoolF
S5A11@schoolF.com,S5A11,546115,,SchoolF
S5A12@schoolF.com,S5A12,744204,,SchoolF
S5A13@schoolF.com,S5A13,734578,,SchoolF
S5A14@schoolF.com,S5A14,208116,,SchoolF
S5A15@schoolF.com,S5A15,317837,,SchoolF
S5A16@schoolF.com,S5A16,536345,,SchoolF
S5A17@schoolF.com,S5A17,671037,,SchoolF
S5A18@schoolF.com,S5A18,774253,,SchoolF
S5A19@schoolF.com,S5A19,145026,,SchoolF
S5A20@schoolF.com,S5A20,346384,,SchoolF
S5A21@schoolF.com,S5A21,490514,,SchoolF
S5A22@schoolF.com,S5A22,909929,,SchoolF
S5A23@schoolF.com,S5A23,994308,,SchoolF
S5A24@schoolF.com,S5A24,414702,,SchoolF
S5A25@schoolF.com,S5A25,851548,,SchoolF
S5A26@schoolF.com,S5A26,77618,,SchoolF
S5A27@schoolF.com,S5A27,218727,,SchoolF
S5A28@schoolF.com,S5A28,249522,,SchoolF
S5A29@schoolF.com,S5A29,23805,,SchoolF
S5A30@schoolF.com,S5A30,704742,,SchoolF
S5A31@schoolF.com,S5A31,423977,,SchoolF
S5A32@schoolF.com,S5A32,490842,,SchoolF
S5A33@schoolF.com,S5A33,551207,,SchoolF
S5A34@schoolF.com,S5A34,774153,,SchoolF
S5A35@schoolF.com,S5A35,82802,,SchoolF
S5A36@schoolF.com,S5A36,0.20362,,SchoolF
S5A37@schoolF.com,S5A37,390879,,SchoolF
S5A38@schoolF.com,S5A38,611376,,SchoolF
S5A39@schoolF.com,S5A39,555894,,SchoolF
S5A40@schoolF.com,S5A40,529796,,SchoolF
S6A01@schoolF.com,S6A01,108391,,SchoolF
S6A02@schoolF.com,S6A02,51217,,SchoolF
S6A03@schoolF.com,S6A03,247333,,SchoolF
S6A04@schoolF.com,S6A04,617009,,SchoolF
S6A05@schoolF.com,S6A05,980736,,SchoolF
S6A06@schoolF.com,S6A06,553489,,SchoolF
S6A07@schoolF.com,S6A07,584168,,SchoolF
S6A08@schoolF.com,S6A08,380129,,SchoolF
S6A09@schoolF.com,S6A09,992467,,SchoolF
S6A10@schoolF.com,S6A10,660426,,SchoolF
S6A11@schoolF.com,S6A11,78239,,SchoolF
S6A12@schoolF.com,S6A12,947476,,SchoolF
S6A13@schoolF.com,S6A13,678106,,SchoolF
S6A14@schoolF.com,S6A14,47954,,SchoolF
S6A15@schoolF.com,S6A15,433015,,SchoolF
S6A16@schoolF.com,S6A16,258229,,SchoolF
S6A17@schoolF.com,S6A17,334455,,SchoolF
S6A18@schoolF.com,S6A18,635703,,SchoolF
S6A19@schoolF.com,S6A19,107649,,SchoolF
S6A20@schoolF.com,S6A20,688206,,SchoolF
S6A21@schoolF.com,S6A21,846652,,SchoolF
S6A22@schoolF.com,S6A22,540445,,SchoolF
S6A23@schoolF.com,S6A23,632212,,SchoolF
S6A24@schoolF.com,S6A24,375285,,SchoolF
S6A25@schoolF.com,S6A25,540323,,SchoolF
S6A26@schoolF.com,S6A26,653492,,SchoolF
S6A27@schoolF.com,S6A27,979395,,SchoolF
S6A28@schoolF.com,S6A28,411739,,SchoolF
S6A29@schoolF.com,S6A29,465419,,SchoolF
S6A30@schoolF.com,S6A30,569714,,SchoolF
S6A31@schoolF.com,S6A31,658183,,SchoolF
S6A32@schoolF.com,S6A32,691057,,SchoolF
S6A33@schoolF.com,S6A33,635305,,SchoolF
S6A34@schoolF.com,S6A34,256106,,SchoolF
S6A35@schoolF.com,S6A35,491239,,SchoolF
S6A36@schoolF.com,S6A36,260838,,SchoolF
S6A37@schoolF.com,S6A37,645648,,SchoolF
S6A38@schoolF.com,S6A38,830189,,SchoolF
S6A39@schoolF.com,S6A39,267238,,SchoolF
S6A40@schoolF.com,S6A40,570222,,SchoolF
S4A01@schoolF.com,S4A01,53621,,SchoolF
S4A02@schoolF.com,S4A02,966972,,SchoolF
S4A03@schoolF.com,S4A03,288951,,SchoolF
S4A04@schoolF.com,S4A04,494237,,SchoolF
S4A05@schoolF.com,S4A05,286104,,SchoolF
S4A06@schoolF.com,S4A06,545194,,SchoolF
S4A07@schoolF.com,S4A07,61814,,SchoolF
S4A08@schoolF.com,S4A08,24,,SchoolF
S4A09@schoolF.com,S4A09,591388,,SchoolF
S4A10@schoolF.com,S4A10,54432,,SchoolF
S4A11@schoolF.com,S4A11,591252,,SchoolF
S4A12@schoolF.com,S4A12,698297,,SchoolF
S4A13@schoolF.com,S4A13,378604,,SchoolF
S4A14@schoolF.com,S4A14,139081,,SchoolF
S4A15@schoolF.com,S4A15,153001,,SchoolF
S4A16@schoolF.com,S4A16,218912,,SchoolF
S4A17@schoolF.com,S4A17,638781,,SchoolF
S4A18@schoolF.com,S4A18,20549,,SchoolF
S4A19@schoolF.com,S4A19,479136,,SchoolF
S4A20@schoolF.com,S4A20,894389,,SchoolF
S4A21@schoolF.com,S4A21,982138,,SchoolF
S4A22@schoolF.com,S4A22,289296,,SchoolF
S4A23@schoolF.com,S4A23,707124,,SchoolF
S4A24@schoolF.com,S4A24,227735,,SchoolF
S4A25@schoolF.com,S4A25,356442,,SchoolF
S4A26@schoolF.com,S4A26,324396,,SchoolF
S4A27@schoolF.com,S4A27,837894,,SchoolF
S4A28@schoolF.com,S4A28,737008,,SchoolF
S4A29@schoolF.com,S4A29,179019,,SchoolF
S4A30@schoolF.com,S4A30,343074,,SchoolF
S4A31@schoolF.com,S4A31,488825,,SchoolF
S4A32@schoolF.com,S4A32,667476,,SchoolF
S4A33@schoolF.com,S4A33,321923,,SchoolF
S4A34@schoolF.com,S4A34,801732,,SchoolF
S4A35@schoolF.com,S4A35,483134,,SchoolF
S4A36@schoolF.com,S4A36,831981,,SchoolF
S4A37@schoolF.com,S4A37,254419,,SchoolF
S4A38@schoolF.com,S4A38,104162,,SchoolF
S4A39@schoolF.com,S4A39,611103,,SchoolF
S4A40@schoolF.com,S4A40,95256,,SchoolF
S5B01@schoolF.com,S5B01,372559,,SchoolF
S5B02@schoolF.com,S5B02,700962,,SchoolF
S5B03@schoolF.com,S5B03,385432,,SchoolF
S5B04@schoolF.com,S5B04,969117,,SchoolF
S5B05@schoolF.com,S5B05,944989,,SchoolF
S5B06@schoolF.com,S5B06,69971,,SchoolF
S5B07@schoolF.com,S5B07,63933,,SchoolF
S5B08@schoolF.com,S5B08,14527,,SchoolF
S5B09@schoolF.com,S5B09,951784,,SchoolF
S5B10@schoolF.com,S5B10,117294,,SchoolF
S5B11@schoolF.com,S5B11,916999,,SchoolF
S5B12@schoolF.com,S5B12,946677,,SchoolF
S5B13@schoolF.com,S5B13,197194,,SchoolF
S5B14@schoolF.com,S5B14,184338,,SchoolF
S5B15@schoolF.com,S5B15,195684,,SchoolF
S5B16@schoolF.com,S5B16,385827,,SchoolF
S5B17@schoolF.com,S5B17,870639,,SchoolF
S5B18@schoolF.com,S5B18,835734,,SchoolF
S5B19@schoolF.com,S5B19,369273,,SchoolF
S5B20@schoolF.com,S5B20,510049,,SchoolF
S5B21@schoolF.com,S5B21,499076,,SchoolF
