Login,Name,Password,Mathematics Ability,School Name
S5A01@schoolH.com,S5A01,230392,,SchoolH
S5A02@schoolH.com,S5A02,21586,,SchoolH
S5A03@schoolH.com,S5A03,850052,,SchoolH
S5A04@schoolH.com,S5A04,527001,,SchoolH
S5A05@schoolH.com,S5A05,156712,,SchoolH
S5A06@schoolH.com,S5A06,580405,,SchoolH
S5A07@schoolH.com,S5A07,285117,,SchoolH
S5A08@schoolH.com,S5A08,805409,,SchoolH
S5A09@schoolH.com,S5A09,399972,,SchoolH
S5A10@schoolH.com,S5A10,362886,,SchoolH
S5A11@schoolH.com,S5A11,503306,,SchoolH
S5A12@schoolH.com,S5A12,326811,,SchoolH
S5A13@schoolH.com,S5A13,167976,,SchoolH
S5A14@schoolH.com,S5A14,688928,,SchoolH
S5A15@schoolH.com,S5A15,539718,,SchoolH
S5A16@schoolH.com,S5A16,808643,,SchoolH
S5A17@schoolH.com,S5A17,633795,,SchoolH
S5A18@schoolH.com,S5A18,111597,,SchoolH
S5A19@schoolH.com,S5A19,325775,,SchoolH
S5A20@schoolH.com,S5A20,104617,,SchoolH
S5A21@schoolH.com,S5A21,590963,,SchoolH
S5A22@schoolH.com,S5A22,99324,,SchoolH
S5A23@schoolH.com,S5A23,881689,,SchoolH
S5A24@schoolH.com,S5A24,689228,,SchoolH
S5A25@schoolH.com,S5A25,883652,,SchoolH
S5A26@schoolH.com,S5A26,821595,,SchoolH
S5A27@schoolH.com,S5A27,542075,,SchoolH
S5A28@schoolH.com,S5A28,624452,,SchoolH
S5A29@schoolH.com,S5A29,524391,,SchoolH
S5A30@schoolH.com,S5A30,19578,,SchoolH
S5A31@schoolH.com,S5A31,229284,,SchoolH
S5A32@schoolH.com,S5A32,54815,,SchoolH
S5A33@schoolH.com,S5A33,747981,,SchoolH
S5A34@schoolH.com,S5A34,776315,,SchoolH
S5A35@schoolH.com,S5A35,948021,,SchoolH
S5A36@schoolH.com,S5A36,45202,,SchoolH
S5A37@schoolH.com,S5A37,439502,,SchoolH
S5A38@schoolH.com,S5A38,519698,,SchoolH
S5A39@schoolH.com,S5A39,143109,,SchoolH
S5A40@schoolH.com,S5A40,628596,,SchoolH
S6A01@schoolH.com,S6A01,392792,,SchoolH
S6A02@schoolH.com,S6A02,677026,,SchoolH
S6A03@schoolH.com,S6A03,904416,,SchoolH
S6A04@schoolH.com,S6A04,593598,,SchoolH
S6A05@schoolH.com,S6A05,400869,,SchoolH
S6A06@schoolH.com,S6A06,711822,,SchoolH
S6A07@schoolH.com,S6A07,51373,,SchoolH
S6A08@schoolH.com,S6A08,561397,,SchoolH
S6A09@schoolH.com,S6A09,851355,,SchoolH
S6A10@schoolH.com,S6A10,178038,,SchoolH
S6A11@schoolH.com,S6A11,971788,,SchoolH
S6A12@schoolH.com,S6A12,243472,,SchoolH
S6A13@schoolH.com,S6A13,593574,,SchoolH
S6A14@schoolH.com,S6A14,801117,,SchoolH
S6A15@schoolH.com,S6A15,260606,,SchoolH
S6A16@schoolH.com,S6A16,878177,,SchoolH
S6A17@schoolH.com,S6A17,881312,,SchoolH
S6A18@schoolH.com,S6A18,233311,,SchoolH
S6A19@schoolH.com,S6A19,465314,,SchoolH
S6A20@schoolH.com,S6A20,795882,,SchoolH
